1617432596652,33.05
1617432601022,33.11
1617433209786,33.07
1617433213263,33.08
1617433329929,33.15
1617433380492,33.09
1617474788706,30.99
1617474806956,30.99
1617474840436,30.99
1617513794849,30.26
1617513789682,30.26
1617513805950,30.26
1617513916543,30.26
1617515168300,29.97
1617516168147,29.98
1617518179434,30.06
1617518180137,30.13
1617518199666,30.12
1617518215344,30.06
1617518282970,30.17
1617518410811,30.16
1617518442821,30.16
1617518529638,30.17
1617519054469,30.27
1617519070456,30.34
1617519084453,30.34
