1617432596652,0.6463
1617432601022,0.6467
1617433209786,0.6491
1617433213263,0.6493
1617433329929,0.6487
1617433380492,0.6492
1617474788706,0.6128
1617474806956,0.6128
1617474840436,0.6128
1617513794849,0.6024
1617513789682,0.6022
1617513805950,0.6022
1617513916543,0.6024
1617515168300,0.5988
1617516168147,0.6002
1617518179434,0.5995
1617518180137,0.6005
1617518199666,0.5998
1617518215344,0.5995
1617518282970,0.6004
1617518410811,0.6007
1617518442821,0.6007
1617518529638,0.6004
1617519054469,0.6011
1617519070456,0.602
1617519084453,0.602
