1617432596652,32.38
1617432601022,32.38
1617433209786,32.28
1617433213263,32.24
1617433329929,32.38
1617433380492,32.27
1617474788706,30.62
1617474806956,30.62
1617474840436,30.62
1617513794849,29.97
1617513789682,29.97
1617513805950,29.97
1617513916543,29.97
1617515168300,29.86
1617516168147,29.89
1617518179434,30.19
1617518180137,30.25
1617518199666,30.23
1617518215344,30.19
1617518282970,30.26
1617518410811,30.24
1617518442821,30.24
1617518529638,30.26
1617519054469,30.22
1617519070456,30.25
1617519084453,30.25
